N1	See readers' New Year photos	How do you celebrate the evening?
N9876	French club has given up on Ødegaard: "It quickly became out of the question"	Just a few weeks ago, the Norwegian was spotted visiting the club, but it doesn't seem to end with a loan.
N9877	Record year for Olavshallen	Better performances, better website and use of social media, Olavshallen can look back on a year with an audience record.
N9878	The art of assembling an Ikea cabinet	Now I have stopped speculating about whether my Ikea period will end.
N9879	Opening gyms a stone's throw from each other	3T and Fitnesspoint are coming to Moholt.
N9880	Accordion in a valley of waves	Trøndelag is no longer the number one accordion district in Norway. But active accordionists of all ages really enjoyed themselves at Nardo School on Saturday.
N9881	Anniversary series part 26: Attempted to rob Norway Bank in Kongens gate	A bank robbery by suicide was a sensation in itself. In 1861, Adresseavisen was able to spice up the news with the solution to an old crime mystery and give reparations to an innocent old man.
N9882	Petrol could be up to one krone more expensive next year	In 2017, petrol prices will increase by 34 øre and diesel by 55 øre, but the increase may be closer to one krone, according to oil analysts.
N9883	Gucci glasses get slaughtered	You can safely buy cheap sun protection - one of the cheapest pairs is the best.
N9884	- Can be part of an environment that glorifies violence	Hans-Petter Karstad believes that such videos can be a way to send a clear message.
N9885	Both have the same responsibilities	Merging is the same as zipper driving. This means that road users from two lanes must be "merged" into one lane. Road users in both lanes have an equal duty and responsibility for ensuring that this happens without problems.
N9886	Expensive to live, but students pay	Students are scrambling to live downtown in the fall. Some pay up to NOK 2-3000 extra for their own kitchen and bathroom.
N9887	Søvasskjølen - Cabin plot located in a nice cabin field - Finished storage room / annex and cast plate - Close to great hiking terrain and fishing lake. - BoligGuiden - adressa.no	
N9888	Kent plays in Trondheim before retiring	- Kent goes to the grave.
N9889	Man arrested in armed police action in Buvika	A man has been arrested after several reports of trouble.
N9890	Helitrans increased sales sharply	New contracts and major firefighting assignments at Flatanger and Frøya contributed to profits for the first time in eight years.
N9891	Woman injured on cross-bike in Oppdal	Has injuries to the back, pelvis and head.
N9892	Jens called and congratulated Birgit	The Prime Minister was among 1.4 million Norwegians who watched the conclusion of "No Borders".
N9893	"This is bordering on attempted murder.	Tony André Schei Brovold believes someone loosened the handbrake in the car.
N9894	Food chains outbid each other in fierce price war	Oslo (NTB-Linus Røvik Hauge): Kiwi's discount on fruit and vegetables prompted Rema to respond with the discount program "Æ". The price war was complete when Coop responded with an even bigger price cut and Kiwi again showed muscle.
N9895	Nice loft apartment w / balcony, floor area approx. 60 sqm, own parking space - BoligGuiden - adressa.no	An exciting loft apartment with area-efficient floor plan with, among other things, a sleeping alcove in addition to its own bedroom. Nice bathroom and kitchen as well as high ceilings with loft solution in st...
N9896	Lise collided with a doctor on skis and broke her ankle. Then came both the orthopedist and the surgeon.	"I couldn't have gotten better first aid," says Lise Pedersen Rånes.
N9897	Schrøder archive to Sverresborg	Foto Schrøder's large archive is donated to Trøndelag Folkemuseum. The Schrøder archive is described as one of the largest private photo collections in the country and is of inestimable cultural-historical value.
N9898	KrF women say no to egg donation	Oslo (NTB): KrF Kvinner believes that the Biotechnology Act should not be changed and allow for egg donation. Recently, Conservative and Frp women came to the opposite conclusion.
N9899	Three popular newcomers	The three nominated restaurants in the Ut-Awards are both similar and different. They have a passion for food and Norwegian ingredients in common, but the menus are very different.
N9900	Here the Germans have laid a railway through Olav Tryggvasons gate	See the unique photos from 1940 and 1945.
N9901	Moved kindergarten after finding barracks on the roof	The owner of the building for a temporary kindergarten reacted immediately when they saw, by pure chance, construction barracks on the roof.
N9902	The police have charged the child welfare service	The police have charged the child welfare service in Midtre Namdal municipality after 147 children did not receive the help they were entitled to.
N9903	He finally reappears	Seed bank sex, cornflakes-eating parakeets, and other absurdities spice up gallows humorous pieces about life in the ruins of a dysfunctional family.
N9904	Missing da Vinci painting found in cavities of this castle	Art experts believe they have found traces of a masterpiece by Leonardo da Vinci that has not been seen for over 400 years.
N9905	McCartney school is hyped up	Norwegian artists with experience from Paul McCartney's talent school in Liverpool warn against believing that everything is joy and joy at the Liverpool Institute for Performing Arts (LIPA).
N9906	Clumsy clowns	The songs fluctuate, but flat humors detract from the concert experience.
N9907	14 years in prison for the Orkanger murder	The 27-year-old who killed Harry Arve Nakstad (59) last autumn has been sentenced to 14 years in prison.
N9908	Tore up garden fences and broken windows for Nidaros to be called Trondhjem	"Trondhjem, Trondhjem" was shouted outside the windows of the newspaper Nidaros in Søndre gate. More and more people joined in, and soon 6-7,000 people were marching through the streets. Trondhjem was to be called the city, and the "nidings" were to be taken.
N9909	Denmark holiday this year? Here are tips for advanced students.	Get tips for another side of Norwegians' holiday favorite.
N9910	Want to take Streetlight children to Trondheim	The dream is that the orphanage children will get to experience the joy of football in Skandia Cup.
N9911	- Have shown off my ass to the whole Norway	Judge Yosef ran to the rescue when Siri Kristine Størseth (28) auditioned in The Voice.
N9912	House prices in Trondheim fell 0.3 per cent in September	House prices fell in September, but price developments are nevertheless stronger than usual this month.
N9913	Almost all of the July 22 leaders have quit	Almost all of the senior executives in agencies that were central on July 22 have resigned from their positions.
N9914	"My Summer"	See all the photos from this summer's photo contest on Speak Out.
N9915	"I think the men were a little envious.	Monica Lorentzen (52) from Agdenes became the hunting team's queen this weekend.
N9916	Resolving nine out of ten high-conflict cases	Where will the child live? This combustible issue can drastically increase the level of conflict in the event of a breakup and turn the breakup into a highly traumatic affair. In Trondheim District Court, the judges are successful as "peace mediators" in such cases.
